"Date","Price","Open","High","Low","Change %"
"Jul 01, 2022","2.8700","2.9375","2.9400","2.8700","-1.71%"
"Jun 30, 2022","2.9200","2.9325","2.9425","2.9325","0.17%"
"Jun 29, 2022","2.9150","2.9325","2.9400","2.9325","-0.85%"
"Jun 28, 2022","2.9400","2.9275","2.9402","2.9275","1.03%"
"Jun 27, 2022","2.9100","2.9275","2.9427","2.9260","0.00%"
"Jun 24, 2022","2.9100","2.9225","2.9450","2.9200","0.17%"
"Jun 23, 2022","2.9050","2.8875","2.9450","2.8875","1.22%"
"Jun 22, 2022","2.8700","2.8825","2.9160","2.8800","0.17%"
"Jun 21, 2022","2.8650","2.8875","2.9250","2.8800","-0.17%"
"Jun 20, 2022","2.8700","2.8875","2.9300","2.8875","-0.61%"
"Jun 17, 2022","2.8875","2.8975","2.9300","2.8848","0.26%"
"Jun 16, 2022","2.8800","2.8975","2.9300","2.8925","0.00%"
"Jun 15, 2022","2.8800","2.9125","2.9350","2.8975","-0.52%"
"Jun 14, 2022","2.8950","2.9175","2.9460","2.9125","-0.17%"
"Jun 13, 2022","2.9000","2.9123","2.9600","2.9099","0.17%"
"Jun 10, 2022","2.8950","2.9175","2.9450","2.9100","-1.71%"
"Jun 09, 2022","2.9455","2.9225","2.9600","2.9125","1.39%"
"Jun 08, 2022","2.9050","2.9325","2.9600","2.9225","-0.34%"
"Jun 07, 2022","2.9150","2.9225","2.9650","2.9200","0.34%"
"Jun 06, 2022","2.9050","2.9275","2.9600","2.9200","-0.17%"
"Jun 03, 2022","2.9100","2.9675","2.9850","2.9275","-1.36%"
"Jun 02, 2022","2.9500","2.9825","3.0025","2.9625","-0.51%"
"Jun 01, 2022","2.9650","2.9575","3.0300","2.9560","0.85%"
"May 31, 2022","2.9400","2.9575","3.0500","2.8712","0.00%"
"May 30, 2022","2.9400","2.8725","2.9900","2.8725","2.98%"
"May 27, 2022","2.8550","2.8425","2.8950","2.8425","1.06%"
"May 26, 2022","2.8250","2.8425","2.8477","2.8400","0.00%"
"May 25, 2022","2.8250","2.8575","2.8650","2.8400","-0.53%"
"May 24, 2022","2.8400","2.8625","2.8650","2.8525","-0.08%"
"May 23, 2022","2.8422","2.8875","2.8900","2.8600","-0.97%"
"May 20, 2022","2.8700","2.9075","2.9075","2.8825","-0.69%"
"May 19, 2022","2.8900","2.9275","2.9400","2.9025","-0.69%"
"May 18, 2022","2.9100","2.9625","2.9625","2.9260","-1.19%"
"May 17, 2022","2.9450","2.9675","2.9800","2.9600","-0.17%"
"May 16, 2022","2.9500","3.0025","3.0076","2.9660","-1.17%"
